"humedad","temperatura"
36.7,53.5
37,51
39.3,39
38.75,42
40.45,47
37.3,44.5
39.9,42.5
43.05,NA
36.45,36.5
37.85,NA
37.6,38.5
38.45,40
39.6,42
38.75,40
39,50
42.2,NA
38.75,48
37.85,NA
37.85,NA
41.3,NA
37.85,35
39,49
39,44.5
40.45,55.5
35.85,90.5
36.7,51.5
37.85,47.5
39.9,NA
38.75,52.5
37,44.5
40.45,43.5
43.35,NA
37.6,43
38.75,39
38.15,39.5
35.05,NA
37.6,57.5
37.6,49
35.3,65
38.45,53
35.55,71.5
36.15,81.5
35.85,81.5
36.7,75.5
40.15,38
40.45,46.5
40.15,36.5
36.45,NA
38.15,50.5
36.15,63.5
35.55,72.5
38.75,64.5
36.45,41
37.3,73
37,NA
37.3,43
39,NA
36.7,74
36.7,58
36.7,65
37.6,62.5
36.45,NA
39.9,37.5
36.7,41
36.45,72
36.7,50.5
35.3,66
35,94
38.15,77.5
37,88
38.75,55
38.75,NA
37.85,65.5
38.15,44
36.15,62.5
36.7,44.5
38.45,48.5
38.15,NA
40.75,43.5
40.15,37.5
37.85,NA
34.7,117
37,69.5
37.85,71
34.15,92
36.15,75
36.15,75.5
36.45,81
35.55,72
34.4,69.5
35.3,78.5
36.7,56.5
40.75,49
38.45,43
38.15,44.5
38.45,43.5
37.85,45
40.45,55
40.75,43.5
36.15,47
38.45,NA
38.75,39.5
36.45,56
39.9,42
38.15,39.5
38.15,45
37,41
39.3,39.5
37.6,44.5
38.15,NA
38.15,36.5
41.3,NA
36.45,NA
40.15,40
37,42
38.75,43
